1.03301.0	1.0330
1.03301.2	1.0330
1.03301.5	1.0330
1.03302.0	1.0330
1.03302.5	1.0330
1.03303.0	1.0330
1.00370.5	1.0037
1.00370.7	1.0037
1.00370.8	1.0037
1.00371.0	1.0037
1.00371.2	1.0037
1.00371.5	1.0037
1.003710.0	1.0037
1.003712.0	1.0037
1.003715.0	1.0037
1.003718.0	1.0037
1.00372.0	1.0037
1.00372.5	1.0037
1.003720.0	1.0037
1.003722.0	1.0037
1.00373.0	1.0037
1.00374.0	1.0037
1.00375.0	1.0037
1.00376.0	1.0037
1.00378.0	1.0037
1.00379.0	1.0037
1.43010.5	1.4301
1.43010.7	1.4301
